t=1; topples=1; grains=4; flux=0; last=[1, 1];
t=2; topples=0; grains=5; flux=0; last=[1, 1];
t=3; topples=0; grains=6; flux=0; last=[2, 0];
t=4; topples=0; grains=7; flux=0; last=[2, 2];
t=5; topples=0; grains=8; flux=0; last=[2, 1];
t=6; topples=0; grains=9; flux=0; last=[0, 0];
t=7; topples=0; grains=10; flux=0; last=[0, 1];
t=8; topples=0; grains=11; flux=0; last=[2, 1];
t=9; topples=0; grains=12; flux=0; last=[2, 0];
t=10; topples=0; grains=13; flux=0; last=[0, 0];
t=11; topples=0; grains=14; flux=0; last=[1, 0];
t=12; topples=0; grains=15; flux=0; last=[1, 2];
t=13; topples=0; grains=16; flux=0; last=[0, 0];
t=14; topples=0; grains=17; flux=0; last=[1, 2];
t=15; topples=0; grains=18; flux=0; last=[2, 2];
t=16; topples=0; grains=19; flux=0; last=[1, 1];
t=17; topples=1; grains=19; flux=1; last=[2, 1];
t=18; topples=1; grains=18; flux=2; last=[2, 0];
t=19; topples=6; grains=12; flux=7; last=[1, 0];
t=20; topples=0; grains=13; flux=0; last=[2, 0];
t=21; topples=0; grains=14; flux=0; last=[0, 2];
t=22; topples=1; grains=13; flux=2; last=[0, 2];
t=23; topples=0; grains=14; flux=0; last=[0, 0];
t=24; topples=0; grains=15; flux=0; last=[2, 0];
t=25; topples=0; grains=16; flux=0; last=[0, 0];
